"Adduct","CF_class","CF_class_score","CF_componentindex","CF_Dparent","CF_Dparent_score","CF_kingdom","CF_kingdom_score","CF_MFramework","CF_MFramework_score","CF_NrNodes","CF_subclass","CF_subclass_score","CF_superclass","CF_superclass_score","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","G1","G2","G3","G4","G5","G6","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","MQScore","MZErrorPPM","name","number of spectra","parent mass","PI","precursor mass","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","UniqueFileSources"
,"Steroids and steroid derivatives","0.18977455716586147","3","Steroidal saponins","0.1355877616747182","Organic compounds","0.5507246376811594","Aliphatic heteropolycyclic compounds","0.26020243846330804","69.0","Steroidal glycosides","0.18494363929146532","Lipids and lipid-like molecules","0.32869795261099616","0","2243","3",,,,"G3","0.0","0.0","7.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2243&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"2243","7","1136.55",,"1136.55","0.0","2183.0985714285716","false","2243",,,,"1.52163E7","Qe04834.mzML"
,"no matches","0.0","S775","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1815","-1",,,,"G3,G5","0.0","0.0","1.0","0.0","1.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1815&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1815","2","645.105",,"645.105","0.0","102.949","false","1815",,,,"693059.0","Qe04836.mzML|Qe04834.mzML"
,"no matches","0.0","320","no matches","0.0","no matches","0.0","no matches","0.0","3.0","no matches","0.0","no matches","0.0","0","2270","320",,,,"G4","0.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2270&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=320&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"2270","1","2477.65",,"1239.32","0.0","938.199","false","2270",,,,"308504.0","Qe04835.mzML"
,"no matches","0.0","S190","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","511","-1",,,,"G4","0.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=511&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"511","1","263.14",,"263.14","0.0","551.929","false","511",,,,"1662660.0","Qe04835.mzML"
,"Flavonoids","0.2341534391534391","50","Coumaric acids and derivatives","0.12108465608465607","Organic compounds","0.9333333333333333","Aromatic heteropolycyclic compounds","0.6108994708994708","15.0","nan","0.17497354497354495","Phenylpropanoids and polyketides","0.5246560846560846","0","958","50",,,,"G3,G4","0.0","0.0","4.0","3.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=958&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=50&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"958","7","359.077",,"359.077","0.0","1033.7814285714287","false","958",,,,"3708420.0","Qe04835.mzML|Qe04834.mzML"
,"Benzene and substituted derivatives","0.1636904761904762","12","Phenylpyrimidines","0.041666666666666664","Organic compounds","0.75","Aromatic heteropolycyclic compounds","0.47941468253968256","8.0","Amino acids, peptides, and analogues","0.14459325396825395","Benzenoids","0.17757936507936506","0","964","12",,,,"G2","0.0","1.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=964&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=12&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"964","1","360.034",,"360.034","0.0","134.97","false","964",,,,"1196860.0","Qe04833.mzML"
,"no matches","0.0","S862","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","2054","-1",,,,"G1","1.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2054&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"2054","1","945.481",,"945.481","0.0","1556.97","false","2054",,,,"241676.0","Qe04832.mzML"
,"no matches","0.0","S313","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","749","-1",,,,"G5,G6","0.0","0.0","0.0","0.0","2.0","2.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=749&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"749","4","312.226",,"312.226","0.0","3267.925","false","749",,,,"7365780.0","Qe04837.mzML|Qe04836.mzML"
,"no matches","0.0","S74","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","149","-1",,,,"G4","0.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=149&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"149","1","207.051",,"207.051","0.0","184.866","false","149",,,,"2604890.0","Qe04835.mzML"
,"Flavonoids","0.2341534391534391","50","Coumaric acids and derivatives","0.12108465608465607","Organic compounds","0.9333333333333333","Aromatic heteropolycyclic compounds","0.6108994708994708","15.0","nan","0.17497354497354495","Phenylpropanoids and polyketides","0.5246560846560846","0","1545","50",,,,"G4","0.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1545&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=50&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1545","1","517.135",,"517.135","0.0","2090.84","false","1545",,,,"262717.0","Qe04835.mzML"
,"Organooxygen compounds","0.125","117","Phenolic glycosides","0.125","Organic compounds","0.5","Aromatic heteropolycyclic compounds","0.29166666666666663","4.0","Carbohydrates and carbohydrate conjugates","0.125","Phenylpropanoids and polyketides","0.16666666666666666","0","1627","117",,,,"G3,G4","0.0","0.0","4.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1627&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=117&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1627","5","553.133",,"553.133","0.0","1239.05","false","1627",,,,"2010070.0","Qe04835.mzML|Qe04834.mzML"
,"Flavonoids","0.2006802721088435","40","Biflavonoids and polyflavonoids","0.08163265306122448","Organic compounds","1.0","Aromatic heteropolycyclic compounds","0.6014739229024944","14.0","nan","0.18509070294784577","Phenylpropanoids and polyketides","0.44586167800453513","0","1726","40",,,,"G3","0.0","0.0","3.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1726&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=40&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1726","3","593.151",,"593.151","0.0","974.3000000000001","false","1726",,,,"988906.0","Qe04834.mzML"
,"no matches","0.0","S17","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","17","-1",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=17&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"17","1","140.986",,"140.986","0.0","608.287","false","17",,,,"951560.0","Qe04834.mzML"
,"no matches","0.0","S719","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1623","-1",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1623&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1623","1","552.187",,"552.187","0.0","2346.62","false","1623",,,,"221881.0","Qe04834.mzML"
,"Organooxygen compounds","0.10213549337260677","32","Phenolic glycosides","0.03813205694648994","Organic compounds","0.7422680412371134","Aromatic heteropolycyclic compounds","0.45482736049746375","97.0","nan","0.10832924234986087","Organoheterocyclic compounds","0.19303305514645713","0","488","32",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=488&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=32&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"488","1","258.062",,"258.062","0.0","107.565","false","488",,,,"2.27048E7","Qe04834.mzML"
,"no matches","0.0","27","no matches","0.0","no matches","0.0","no matches","0.0","100.0","no matches","0.0","no matches","0.0","0","320","27",,,,"G2","0.0","1.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=320&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"320","1","235.926",,"235.926","0.0","590.438","false","320",,,,"538314.0","Qe04833.mzML"
,"Organooxygen compounds","0.10544217687074829","33","Lignan glycosides","0.06462585034013604","Organic compounds","0.7857142857142857","Aromatic heteropolycyclic compounds","0.422874149659864","14.0","nan","0.22304421768707483","Phenylpropanoids and polyketides","0.19413265306122449","0","1832","33",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1832&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=33&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1832","1","653.25",,"653.25","0.0","3154.0","false","1832",,,,"239304.0","Qe04834.mzML"
,"no matches","0.0","S138","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","374","-1",,,,"G1","1.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=374&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"374","1","235.926",,"235.926","0.0","3191.46","false","374",,,,"249377.0","Qe04832.mzML"
,"Organic phosphonic acids and derivatives","0.5","459","Bisphosphonates","0.5","Organic compounds","1.0","Aliphatic acyclic compounds","0.5","2.0","Bisphosphonates","0.5","Organoheterocyclic compounds","0.5","0","56","459",,,,"G5","0.0","0.0","0.0","0.0","1.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=56&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=459&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"56","1","174.102",,"174.102","0.0","93.8349","false","56",,,,"3.06948E7","Qe04836.mzML"
,"Allyl sulfur compounds","0.09090909090909091","25","Allyl sulfur compounds","0.09090909090909091","Organic compounds","0.45454545454545453","Aliphatic acyclic compounds","0.13939393939393938","11.0","nan","0.21818181818181823","Organoheterocyclic compounds","0.116017316017316","0","160","25",,,,"G1,G2,G3,G4,G5,G6","15.0","21.0","7.0","16.0","14.0","13.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=160&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=25&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"160","86","208.065",,"208.065","0.0","1695.5639110465117","false","160",,,,"1.80473E8","Qe04833.mzML|Qe04837.mzML|Qe04834.mzML|Qe04835.mzML|Qe04832.mzML|Qe04836.mzML"
,"Macrolides and analogues","0.25","477","Macrolides and analogues","0.25","Organic compounds","1.0","Aromatic heteromonocyclic compounds","0.25","2.0","nan","0.25","Lipids and lipid-like molecules","0.25","0","1111","477",,,,"G2,G5,G6","0.0","1.0","0.0","0.0","1.0","2.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1111&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=477&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1111","4","379.21",,"379.21","0.0","3286.9625","false","1111",,,,"1354230.0","Qe04833.mzML|Qe04837.mzML|Qe04836.mzML"
,"no matches","0.0","27","no matches","0.0","no matches","0.0","no matches","0.0","100.0","no matches","0.0","no matches","0.0","0","308","27",,,,"G1","1.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=308&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"308","1","235.926",,"235.926","0.0","2351.27","false","308",,,,"347020.0","Qe04832.mzML"
,"Thienothiophenes","0.25","115","Thienothiophenes","0.25","Organic compounds","1.0","Aromatic heteropolycyclic compounds","0.4270833333333333","4.0","nan","0.33333333333333337","Organoheterocyclic compounds","0.4583333333333333","0","109","115",,,,"G2","0.0","1.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=109&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=115&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"109","1","196.054",,"196.054","0.0","135.733","false","109",,,,"1.23069E7","Qe04833.mzML"
"M+FA-H","Cinnamic acids and derivatives","0.40079365079365076","532","Coumaric acids and derivatives","0.3055555555555556","Organic compounds","1.0","Aromatic heteromonocyclic compounds","0.6246031746031746","6.0","Hydroxycinnamic acids and derivatives","0.40079365079365076","Phenylpropanoids and polyketides","0.4748677248677249","0","1727","532","NCGC00385221-01_C23H32O15_alpha-D-Glucopyranoside, beta-D-fructofuranosyl 6-O-[(2E)-3-(4-hydroxy-3,5-dimethoxyphenyl)-1-oxo-2-propen-1-yl]-","isolated","lfnothias","G3,G4","0.0","0.0","3.0","1.0","0.0","0.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000850007","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1727&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=532&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true","InChI=1S/C23H32O15/c1-33-11-5-10(6-12(34-2)16(11)27)3-4-15(26)35-8-14-17(28)19(30)20(31)22(36-14)38-23(9-25)21(32)18(29)13(7-24)37-23/h3-6,13-14,17-22,24-25,27-32H,7-9H2,1-2H3/b4-3+/t13-,14-,17-,18-,19+,20-,21+,22-,23+/m1/s1","Maxis II HD Q-TOF Bruker","LC-ESI","negative","1","0.0","0.62348","0.0","1727","4","593.172","Jadhav/Dorrestein","593.172","0.0","1282.1225","false","1727","7","COC1=CC(=CC(=C1O)OC)\\C=C\\C(=O)OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O","CCMSLIB00000850007","2053830.0","Qe04835.mzML|Qe04834.mzML"
,"no matches","0.0","S768","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1776","-1",,,,"G4","0.0","0.0","0.0","6.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1776&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1776","6","621.437",,"621.437","0.0","3266.653333333333","false","1776",,,,"2996470.0","Qe04835.mzML"
,"no matches","0.0","S323","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","774","-1",,,,"G6","0.0","0.0","0.0","0.0","0.0","2.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=774&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"774","2","320.955",,"320.955","0.0","207.351","false","774",,,,"602762.0","Qe04837.mzML"
,"no matches","0.0","S2","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","2","-1",,,,"G1","3.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"2","3","140.986",,"140.986","0.0","1435.53","false","2",,,,"2497400.0","Qe04832.mzML"
,"no matches","0.0","S909","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","2281","-1",,,,"G4","0.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=2281&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"2281","1","1257.61",,"1257.61","0.0","2332.41","false","2281",,,,"276813.0","Qe04835.mzML"
,"no matches","0.0","S163","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","448","-1",,,,"G1,G2,G3,G4,G5,G6","1.0","1.0","1.0","1.0","1.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=448&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"448","6","244.964",,"244.964","0.0","88.25450000000001","false","448",,,,"1972220.0","Qe04833.mzML|Qe04837.mzML|Qe04834.mzML|Qe04835.mzML|Qe04832.mzML|Qe04836.mzML"
,"no matches","0.0","S639","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","1421","-1",,,,"G3","0.0","0.0","1.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1421&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1421","1","473.216",,"473.216","0.0","2617.65","false","1421",,,,"243492.0","Qe04834.mzML"
"M-H","Organooxygen compounds","0.1856516290726817","45","Terpene glycosides","0.10526315789473684","Organic compounds","0.9473684210526315","Aromatic heteropolycyclic compounds","0.5462406015037594","19.0","nan","0.1759189640768588","Phenylpropanoids and polyketides","0.3170843776106934","0","928","45","Massbank:FIO00625 Chlorogenic acid","Isolated","Massbank","G1,G2,G3,G4,G5,G6","10.0","14.0","51.0","56.0","15.0","25.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00005778135","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=928&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=45&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true","1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1","qTof","ESI","Negative","3","0.0","0.9479360000000001","0.0","928","171","353.088","Massbank","353.088","0.0","909.4776491228071","false","928","4","C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O","CCMSLIB00005778135","1.38721E9","Qe04833.mzML|Qe04837.mzML|Qe04834.mzML|Qe04835.mzML|Qe04832.mzML|Qe04836.mzML"
,"Prenol lipids","0.488095238095238","324","Iridoid O-glycosides","0.35119047619047616","Organic compounds","1.0","Aromatic heteropolycyclic compounds","0.5202380952380953","5.0","Terpene glycosides","0.43809523809523804","Lipids and lipid-like molecules","0.488095238095238","0","1619","324",,,,"G3","0.0","0.0","3.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1619&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=324&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1619","3","551.177",,"551.177","0.0","1690.15","false","1619",,,,"3432430.0","Qe04834.mzML"
,"no matches","0.0","S134","no matches","0.0","no matches","0.0","no matches","0.0","1.0","no matches","0.0","no matches","0.0","0","350","-1",,,,"G1","1.0","0.0","0.0","0.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=350&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"350","1","235.926",,"235.926","0.0","2279.4","false","350",,,,"324786.0","Qe04832.mzML"
"M-H","Indoles and derivatives","1.0","S69","Indolyl carboxylic acids and derivatives","1.0","Organic compounds","1.0","Aromatic heteropolycyclic compounds","1.0","1.0","Indolyl carboxylic acids and derivatives","1.0","Organoheterocyclic compounds","1.0","0","133","-1","Massbank:CE000347 Tryptophan","Isolated","Massbank","G1,G2,G3,G4,G5,G6","5.0","9.0","2.0","8.0","3.0","8.0","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00005753081","https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=133&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true","1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)","Hybrid FT","ESI","Negative","3","0.0","0.943032","0.0","133","35","203.083","Massbank","203.083","0.0","514.5122571428572","false","133","5","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N","CCMSLIB00005753081","7.46835E7","Qe04833.mzML|Qe04837.mzML|Qe04834.mzML|Qe04835.mzML|Qe04832.mzML|Qe04836.mzML"
,"Coumarins and derivatives","0.06854838709677419","70","Coumarins and derivatives","0.06854838709677419","Organic compounds","0.3548387096774194","Aromatic heteropolycyclic compounds","0.1696236559139785","31.0","nan","0.07392473118279569","Phenylpropanoids and polyketides","0.1","0","1158","70",,,,"G1,G2,G3,G4,G5,G6","1.0","1.0","1.0","1.0","1.0","1.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1158&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=70&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1158","6","389.937",,"389.937","0.0","87.507","false","1158",,,,"1.54009E7","Qe04833.mzML|Qe04837.mzML|Qe04834.mzML|Qe04835.mzML|Qe04832.mzML|Qe04836.mzML"
,"Organooxygen compounds","0.5714285714285714","557","Aminocyclitol glycosides","0.5714285714285714","Organic compounds","1.0","Aliphatic heteromonocyclic compounds","0.5714285714285714","2.0","Carbohydrates and carbohydrate conjugates","0.5714285714285714","Organic oxygen compounds","0.5714285714285714","0","1492","557",,,,"G4","0.0","0.0","0.0","1.0","0.0","0.0",,"https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=fdb7d11e20b94cbd95bfc2428f23c254&view=cluster_details&protein=1492&show=true","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=557&task=fdb7d11e20b94cbd95bfc2428f23c254&show=true",,,,,,,,,"1492","1","989.461",,"495.23","0.0","2425.64","false","1492",,,,"924445.0","Qe04835.mzML"
